folder,topic_title,epoch,rows,unique_source_nodes,unique_target_nodes,unique_edges,source_state_values,target_state_values
Partisan Alignment,Partisan Alignment,10,4000,1000,991,3998,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,11,4000,1000,988,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,12,3999,1000,990,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,13,3999,1000,991,3996,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,14,4000,1000,994,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,15,4000,1000,992,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,16,4000,1000,993,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,17,4000,1000,989,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,18,4000,1000,988,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,19,4000,1000,986,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,20,4000,1000,987,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,21,4000,1000,986,3996,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,22,4000,1000,983,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,23,4000,1000,984,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,24,4000,1000,982,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,25,4000,1000,979,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,26,4000,1000,978,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,27,4000,1000,979,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,28,4000,1000,977,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,29,4000,1000,976,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,30,4000,1000,976,3997,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,31,4000,1000,976,3996,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,32,4000,1000,976,3996,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,33,4000,1000,976,3995,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,34,4000,1000,976,3995,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,35,3999,1000,976,3995,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,36,4000,1000,977,3994,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,37,3999,1000,979,3994,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,38,3999,1000,979,3995,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,39,3999,1000,980,3995,-2 -1 0 1 2,-2 -1 0 1 2
Partisan Alignment,Partisan Alignment,40,3999,1000,980,3995,-2 -1 0 1 2,-2 -1 0 1 2
